Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,18.003504,18.555305,17.931683,18.387136,18.387136,370776852
2013-01-08,18.406906,18.643644,18.076826,18.099348,18.099348,387036576
2013-01-15,18.001251,18.393393,17.550800,17.630381,17.630381,455120424
2013-01-22,17.634134,18.980982,17.405405,18.787037,18.787037,676810512
2013-01-29,18.687437,19.434435,18.682182,18.994493,18.994493,475559964
2013-02-05,19.047297,19.686436,18.981482,19.580080,19.580080,478596924
2013-02-12,19.563313,19.851351,19.463715,19.842093,19.842093,300591108
2013-02-19,19.919670,20.244493,19.782032,19.789040,19.789040,541865592
2013-02-26,19.894896,20.591593,19.629629,20.558058,20.558058,457358184
2013-03-05,20.743994,21.121120,20.646896,20.891392,20.891392,538516944
2013-03-12,20.788540,20.818068,20.056807,20.214966,20.214966,409142448
2013-03-19,20.301300,20.501753,20.181431,20.261261,20.261261,329262408
2013-03-26,20.357859,20.370371,19.851101,20.049801,20.049801,297709992
2013-04-02,20.133635,20.391142,19.229229,19.390640,19.390640,499244256
2013-04-09,19.406906,19.944944,19.347097,19.567818,19.567818,409765824
2013-04-16,19.684435,20.119120,19.050550,20.022774,20.022774,630892476
2013-04-23,20.045046,20.588087,19.934435,20.496998,20.496998,435647916
2013-04-30,20.495495,21.567818,20.429428,21.560310,21.560310,416938644
2013-05-07,21.596848,22.083834,21.288038,21.960211,21.960211,398565036
2013-05-14,21.959459,23.038038,21.950451,22.735987,22.735987,553026420
2013-05-21,22.723223,22.814314,21.797047,21.854855,21.854855,364255380
2013-05-28,22.109610,22.325827,21.396896,21.712461,21.712461,433034532
2013-06-04,21.717968,22.297297,21.201702,22.277779,22.277779,462213324
2013-06-11,22.121370,22.258007,21.659159,22.178429,22.178429,416527056
2013-06-18,22.238487,22.793795,21.602854,21.766518,21.766518,617541840
2013-06-25,21.953453,22.324324,21.634384,22.219219,22.219219,414992592
2013-07-02,22.277277,22.679428,21.953705,22.649900,22.649900,264131604
2013-07-09,22.797798,23.223223,22.471972,23.140390,23.140390,431595972
2013-07-16,23.201450,23.222471,21.912163,22.790291,22.790291,694748556
2013-07-23,22.790291,22.847849,22.044294,22.078829,22.078829,431364204
2013-07-30,22.158659,22.697699,22.043795,22.647648,22.647648,363280356
2013-08-06,22.639891,22.765516,22.063313,22.159910,22.159910,282677040
2013-08-13,22.192944,22.234735,21.434935,21.662912,21.662912,353933712
2013-08-20,21.730480,21.971972,21.610109,21.681431,21.681431,239352408
2013-08-27,21.512012,21.614864,21.160160,21.193693,21.193693,255907836
2013-09-03,21.380381,22.266016,21.370119,22.223473,22.223473,326724948
2013-09-10,22.272774,22.469971,22.122122,22.216215,22.216215,265957776
2013-09-17,22.207457,22.672422,22.047047,22.184685,22.184685,436151412
2013-09-24,22.184685,22.274775,21.729479,21.919670,21.919670,294780924
2013-10-01,22.028278,22.374874,21.624374,21.665165,21.665165,317630052
2013-10-08,21.654655,21.928179,21.095596,21.924675,21.924675,379731888
2013-10-15,21.915916,25.500502,21.871872,25.107609,25.107609,921109968
2013-10-22,25.150150,26.040291,24.919670,25.400400,25.400400,405717876
2013-10-29,25.503002,26.064064,25.362864,25.678429,25.678429,279368352
2013-11-05,25.534285,25.817066,25.216215,25.290039,25.290039,246844908
2013-11-12,25.217718,26.244745,25.150150,25.814566,25.814566,279727992
2013-11-19,25.818819,26.356106,25.534534,26.174423,26.174423,241929828
2013-11-26,26.241241,26.726727,26.099600,26.388388,26.388388,238796964
2013-12-03,26.300051,27.084835,26.251753,26.980480,26.980480,276235488
2013-12-10,26.930681,27.335085,26.473724,26.851351,26.851351,356706936
2013-12-17,26.847347,27.922922,26.502502,27.905405,27.905405,415380204
2013-12-24,27.902151,28.040541,27.730230,27.764263,27.764263,194916888
2013-12-31,27.833834,28.053053,27.650902,27.960960,27.960960,264347388
2014-01-07,28.153152,28.711712,27.957207,28.102604,28.102604,457222320
2014-01-14,28.477226,29.044794,28.230480,28.792042,28.792042,352367280
2014-01-21,29.052301,29.226477,27.083834,27.558308,27.558308,549310140
