,Username,Datetime,Text
0,CNBC,2022-12-13 13:47:16+00:00,"Here are Tuesday's biggest analyst calls: Amazon, Tesla, Home Depot, Pfizer, Pinterest, Nike &amp; more https://t.co/uHVwpMrsKO"
1,CNBC,2022-12-13 12:35:01+00:00,"Goldman Sachs upgrades Pfizer, says pharma giant can outperform even as Covid demand diminishes https://t.co/wgeN9W4izy"
2,CNBC,2022-12-09 01:11:00+00:00,An HIV vaccine has eluded scientists for decades. But mRNA technology — the same technology used in the Covid vaccines from Moderna and Pfizer-BioNTech — could be a turning point. Watch the full video here: https://t.co/MygF0ESfaB https://t.co/ExaCODVvU0
3,CNBC,2022-12-07 15:38:47+00:00,FDA expected to decide on Pfizer RSV vaccine for older adults by May 2023 https://t.co/fw24gz5WQh
4,CNBC,2022-12-07 03:15:00+00:00,An HIV vaccine has eluded scientists for decades. But mRNA technology — the same technology used in the Covid vaccines from Moderna and Pfizer-BioNTech — could be a turning point. Watch the full video here: https://t.co/MygF0ESfaB https://t.co/RK5Misd0Us
5,CNBC,2022-12-06 16:52:29+00:00,"Pfizer rejects Moderna claim it copied Covid vaccine, accuses rival of rewriting history https://t.co/YInn55zNCw"
6,CNBC,2022-11-18 15:57:53+00:00,Pfizer says omicron booster is better against new subvariants like BQ.1.1 than old shots https://t.co/5oK4ZuPQXy
7,CNBC,2022-11-18 13:44:02+00:00,"Here are Friday's biggest analyst calls: Coinbase, Apple, Amazon, GM, Conagra, Pfizer &amp; more https://t.co/RyRKktsPAD"
8,CNBC,2022-11-15 17:03:49+00:00,How the speed of the Covid vaccine breakthrough is changing the way Pfizer thinks about the future https://t.co/tfUQMbhCZy
9,CNBC,2022-11-06 09:01:00+00:00,An HIV vaccine has eluded scientists for decades. But mRNA technology — the same technology used in the Covid vaccines from Moderna and Pfizer-BioNTech — could be a turning point. Watch the full video here: https://t.co/MygF0ESfaB https://t.co/EOXByrokD8
10,CNBC,2022-11-05 18:26:00+00:00,An HIV vaccine has eluded scientists for decades. But mRNA technology — the same technology used in the Covid vaccines from Moderna and Pfizer-BioNTech — could be a turning point. Watch the full video here: https://t.co/MygF0EAEj3 https://t.co/VVhoCA5gfJ
11,CNBC,2022-11-04 14:25:12+00:00,Pfizer releases more data indicating omicron boosters are better than old Covid shots https://t.co/sMWfUpv4aR
12,CNBC,2022-11-01 20:12:34+00:00,Pfizer CEO reveals 2030 growth plan as company faces up to $18 billion revenue hit from generics https://t.co/K1lbBHp4IS
13,CNBC,2022-11-01 11:41:33+00:00,"Stocks making the biggest moves in the premarket: Abiomed, Uber, SoFi, Pfizer and more https://t.co/R3blCCwut3"
14,CNBC,2022-11-01 11:30:14+00:00,"Pfizer raises 2022 earnings guidance, beats third-quarter expectations https://t.co/m8WWilJd9v"
15,CNBC,2022-11-01 10:33:19+00:00,"Pfizer RSV vaccine given to pregnant mothers is effective at protecting newborns, company's data shows https://t.co/nBzF4MyHEi"
16,CNBC,2022-10-19 15:01:05+00:00,FDA authorizes Novavax's Covid shots as mix-and-match booster to Pfizer or Moderna https://t.co/dMdmH5oEy8
17,CNBC,2022-10-13 14:57:25+00:00,Pfizer says omicron shots substantially boosted antibodies against BA.5 subvariant in early human data https://t.co/Iou3cXIB6E
18,CNBC,2022-10-06 07:05:00+00:00,An HIV vaccine has eluded scientists for decades. But mRNA technology — the same technology used in the Covid vaccines from Moderna and Pfizer-BioNTech — could be a turning point. Watch the full video here: https://t.co/MygF0EAEj3 https://t.co/GAdtPR1NHh
19,CNBC,2022-10-04 22:12:00+00:00,An HIV vaccine has eluded scientists for decades. But mRNA technology — the same technology used in the Covid vaccines from Moderna and Pfizer-BioNTech — could be a turning point. Watch the full video here: https://t.co/MygF0EAEj3 https://t.co/pZz1Dy0Pfa
20,CNBC,2022-09-27 15:08:49+00:00,Pfizer or Moderna: Which new omicron-specific Covid booster should you get? (via @CNBCMakeIt) https://t.co/gSDxxGslST
21,CNBC,2022-09-26 14:42:05+00:00,Pfizer asks FDA to authorize omicron Covid booster shots for kids ages 5 to 11 https://t.co/EqX9hXCJpP
22,CNBC,2022-09-07 19:37:27+00:00,"Omicron boosters are a key milestone, but aren't likely to woo new investors to Pfizer, Moderna https://t.co/FrW3reMSQr"
23,CNBC,2022-09-04 20:25:00+00:00,An HIV vaccine has eluded scientists for decades. But mRNA technology — the same technology used in the Covid vaccines from Moderna and Pfizer-BioNTech — could be a turning point. Watch the full video here: https://t.co/MygF0ESfaB https://t.co/SBTB2fXVk9
24,CNBC,2022-09-04 12:43:00+00:00,An HIV vaccine has eluded scientists for decades. But mRNA technology — the same technology used in the Covid vaccines from Moderna and Pfizer-BioNTech — could be a turning point. Watch the full video here: https://t.co/MygF0ESfaB https://t.co/ouphjqIZAw
25,CNBC,2022-09-02 16:40:55+00:00,"BA.5-specific Covid boosters from Pfizer, Moderna could be available as soon as Labor Day weekend—here's what to know (via @CNBCMakeIt) https://t.co/y94W7nYT9N"
26,CNBC,2022-08-26 15:10:00+00:00,Moderna sues BioNTech and Pfizer for patent infringement over the Covid-19 vaccine. The @SquawkStreet team discusses the lawsuit. https://t.co/TYV4GN9gsb https://t.co/zy78bw7vPu
27,CNBC,2022-08-26 13:20:07+00:00,"What Cramer is watching Friday — Fed's Powell at Jackson Hole, Moderna sues Pfizer over vax https://t.co/Us0ikwox6D"
28,CNBC,2022-08-26 12:36:59+00:00,Moderna sues Pfizer/BioNTech for patent infringement over COVID vaccine https://t.co/euGydotHNa
29,CNBC,2022-08-22 16:59:47+00:00,Pfizer asks FDA to authorize Covid booster shots that target omicron BA.5 for people ages 12 and older https://t.co/wWjllILbI5
30,CNBC,2022-08-22 14:42:38+00:00,Pfizer asks FDA to authorize Covid booster shots that target omicron BA.5 for people ages 12 and older https://t.co/V3hpSVZ423
31,CNBC,2022-08-17 00:44:00+00:00,"Over 100 companies including Pfizer, Tyson, Amazon and more have committed to hiring and training Afghan evacuees. @kaylatausche reports on where things stand now. https://t.co/PCn1JNbJ6q (via @CNBCPolitics) https://t.co/fbEQLkHYHv"
32,CNBC,2022-08-08 13:11:52+00:00,"Investing Club: What Cramer is watching Monday — IRA Act lifts EV and solar stocks, Pfizer's buy https://t.co/AL0pbhBFuN"
33,CNBC,2022-08-08 11:29:10+00:00,Pfizer to buy Global Blood Therapeutics in $5.4 billion deal https://t.co/5MwVfWlVZF
34,CNBC,2022-08-07 20:20:00+00:00,An HIV vaccine has eluded scientists for decades. But mRNA technology — the same technology used in the Covid vaccines from Moderna and Pfizer-BioNTech — could be a turning point. Watch the full video here: https://t.co/MygF0ESfaB https://t.co/H7NIx4hLck
35,CNBC,2022-08-07 12:41:00+00:00,An HIV vaccine has eluded scientists for decades. But mRNA technology — the same technology used in the Covid vaccines from Moderna and Pfizer-BioNTech — could be a turning point. Watch the full video here: https://t.co/MygF0ESfaB https://t.co/ROQAcoz8fq
36,CNBC,2022-07-28 23:16:06+00:00,Watch Jim Cramer's full interview with Pfizer CEO Albert Bourla https://t.co/mr1msYJ43l
37,CNBC,2022-07-28 12:29:23+00:00,Pfizer's Covid vaccine and treatment drive second-quarter earnings beat https://t.co/HtWTTqRkjY
38,CNBC,2022-07-24 15:03:18+00:00,"From Tesla to Pfizer, a new group of single-stock ETFs gives investors a way to make bullish and bearish bets (via @ETFEdgeCNBC) https://t.co/pKHUWfChnY"
39,CNBC,2022-07-09 23:00:02+00:00,An HIV vaccine has eluded scientists for decades. But mRNA technology — the same technology used in the Covid vaccines from Moderna and Pfizer-BioNTech — could be a turning point. Watch the full video here: https://t.co/MygF0EAEj3 https://t.co/i2qauHnYhL
40,CNBC,2022-06-18 23:03:00+00:00,An HIV vaccine has eluded scientists for decades. But mRNA technology — the same technology used in the Covid vaccines from Moderna and Pfizer-BioNTech — could be a turning point. Watch the full video here: https://t.co/MygF0EAEj3 https://t.co/Zs0YBM7oQr
41,CNBC,2022-06-17 20:48:24+00:00,"The Food and Drug Administration on Friday authorized Moderna’s and Pfizer’s Covid-19 shots for children as young as 6 months old, which makes nearly every person in the U.S. now eligible for vaccination.
https://t.co/qfb4I2HdZR"
42,CNBC,2022-06-17 15:25:00+00:00,The FDA has authorized Pfizer and Moderna vaccines for kids as young as six months old. @megtirrell joins @SquawkCNBC with the details. https://t.co/AHsGzwoGIK https://t.co/p1nbjyqTup
43,CNBC,2022-06-15 16:18:22+00:00,EU drugs watchdog launches rolling review of Pfizer-BioNTech's Covid variant vaccine https://t.co/SSCgJ5mCZP
44,CNBC,2022-06-14 21:08:09+00:00,Pfizer stops enrollment in Covid antiviral trial in standard-risk population https://t.co/bsfiRRV24R
45,CNBC,2022-06-13 10:00:00+00:00,An HIV vaccine has eluded scientists for decades. But mRNA technology — the same technology used in the Covid vaccines from Moderna and Pfizer-BioNTech — could be a turning point. Watch the full video here: https://t.co/MygF0ESfaB https://t.co/UGiYzdYUn1
